stg_item_cd,stg_item_sub_segment_desc_txt,stg_item_segment_desc_txt,stg_item_category_desc_txt,stg_item_sub_dept_desc_txt,stg_item_dept_desc_txt
1016782,Regular,Instant Powdered Chocolate Drinks,Instant Chocolate Drinks,Chocolate Drink,Beverages
94111,Cheddar,Cheddar Cheese,Cheese Blocks,Cheese,Chilled
839302,Prepared Meals,Prepared Meals,Prepared Meals,Baby Foods,Grocery
1070377,Imported,Ambient Jelly,Sugar Confectionary,Confectionery,Grocery
1077721,Imported,Multiple Cereal Bars,Cereal Bars,Cereals,Grocery
26647,Imported,Potato,Crisp/Chips,Snacks,Grocery
93877,Unclassified,Unclassified,Paste/Mixes,Seasoning,Grocery
908458,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
406672,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
1053709,Eye Liner,Eye Liner,Eye Cosmetics,Cosmetics,Household
236347,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1015909,Men's Perfumes EDT,Men's Perfumes,Men's Fragrance,Men's Toiletries,Household
393685,Hair Oil,Hair Oil & Tonic,Men's Hair Treatment,Men's Toiletries,Household
259441,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
530962,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
423934,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
66427,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
1010617,Complete meals,Dog Food,Pet Food,Pet Care,Household
124927,Complete meals,Dog Food,Pet Food,Pet Care,Household
97081,Bottles,Cordial,Cordial,Juices,Beverages
64645,Bottles,Nectar,RTD,Juices,Beverages
283165,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
826531,Flavored,Set Yogurt- Low Fat,Set Yogurt,Yoghurt,Chilled
1106953,Powders,Paste Powders,Pastes,Seasoning & Coconut Cream,Grocery
55348,Sinhala,Pickles,Meal Accompaniments,Meal Accompaniments,Grocery
897595,Prepared Meals,Prepared Meals,Prepared Meals,Baby Foods,Grocery
272158,Imported,Muesli,Muesli,Cereals,Grocery
1103776,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
367288,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
887695,Unclassified,Unclassified,Paste/Mixes,Seasoning,Grocery
854665,Unclassified,Unclassified,Paste/Mixes,Seasoning,Grocery
998809,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1066282,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
970837,Lipstick,Lipstick,Lip Cosmetics,Cosmetics,Household
1095289,Men's Facial All Ski,Men's Facial Cleansers,Men's Facial Care,Men's Toiletries,Household
1048444,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
1031299,Prepared Meals,Baby Prepared Meals,Baby Ready Meals,Baby Foods,Household
1024927,Thermometer,Nursing Accessories,Accessories,Baby Needs,Household
124702,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
109528,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
217159,Fish Food,Fish Food,Pet Food,Pet Care,Household
180340,Lotion/Cream,Repellent,Insecticides,Pest Control,Household
979630,Hair Spray,Hair Spray,Hair Styling,Hair Care,Household
870199,Bottles,Squash,Squash,Juices,Beverages
1032559,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
135160,Box,Full Cream Powdered Milk,Powdered Milk,Milk & Creamers,Beverages
158002,Lime,Pickles,Meal Accompaniments,Meal Accompaniments,Grocery
838159,Assorted,Assorted,Assorted,Pasta,Grocery
256048,Packets,Local,Assorted,Biscuits,Grocery
831445,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
102301,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
822148,Flavoured,Imported,Flavoured/Cream/Fruit/Chocolate,Biscuits,Grocery
1048129,Imported,Ambient Jelly,Sugar Confectionary,Confectionery,Grocery
45529,Imported,Specialty Cooking Sauces,Ambient Cooking Sauces,Sauce,Grocery
822346,Beef,Beef,Beef,Processed/Preserved Meat,Grocery
90619,Bottles,Marmalade,Ambient Spreads,Spreads,Grocery
119122,Other Flavours,Other Flavours,Soy Milk,Long Life,Grocery
852262,Chicken,MSG,Instant Small,Noodles,Grocery
11059,Imported,Potato,Crisp/Chips,Snacks,Grocery
1113640,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
372814,Sponges,Sponges,Sponges & Scrubbers,Cleaning Durables,Household
921013,Cleaning Scrubber,Cleaning Scrubber,Sponges & Scrubbers,Cleaning Durables,Household
1032199,Cleaning Scrubber,Cleaning Scrubber,Sponges & Scrubbers,Cleaning Durables,Household
1061107,Incense,Incense,Incense,General Needs,Household
836224,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
62620,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
24361,Complete meals,Dog Food,Pet Food,Pet Care,Household
41191,Cream/Gel,Cream/Gel,Shaving Requisites,Toiletries Men,Household
1037356,Hair Serums,Hair Serums & Tonics,Hair Treatment,Hair Care,Household
917368,Bottle,Single Consumption RTD Carbonates,Single Consumption RTD Beverages,RTD Beverages,Beverages
1082455,Imported,Wafers,Sweet Biscuits & Cookies  Regular,Biscuits,Grocery
1045033,Icing Sugar,Icing Sugar,Dessert Ingredients,Desserts,Grocery
45781,Powders,Powders,Imported,Soups,Grocery
1049524,Shower Gel,Shower Gel,Body Cleansing,Hand & Body Care,Household
86398,Hair Oil,Hair Oil & Tonic,Men's Hair Treatment,Men's Toiletries,Household
866311,Dual Purpose,Washing Detergents Powders,Washing Detergents,Laundry Care,Household
894184,Powered,Laundry,Baby Washing Aids,Baby Needs,Household
979396,Normal Skin,Facial Cleansers,Facial Cleansing,Facial Care,Household
1076902,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
907450,Car wash,Car wash,Car Care Cleaning  Exterior,Car Care,Household
988585,Hair Medicated Treat,Medicated Treatments,Hair Treatment,Hair Care,Household
1079755,Regular,Instant Powdered Chocolate Drinks,Instant Chocolate Drinks,Chocolate Drink,Beverages
