stg_outlet_cd,stg_item_cd,DATE_ID,sales_qty
E,116836,2022-08-26,4.0
B,113281,2022-10-10,2.0
D,11293,2022-02-25,6.0
D,117610,2022-03-15,8.0
D,102490,2022-05-12,104.67000049352646
A,94336,2022-03-18,1.0
C,40759,2022-04-26,6.0
C,107269,2022-02-06,1.0
C,111337,2022-08-05,7.0
B,120418,2022-04-08,5.0
C,121291,2022-09-15,3.0
B,117925,2022-05-23,10.0
B,13795,2022-06-13,1.0
E,42685,2022-04-04,9.0
B,952,2022-09-25,2.0
A,120418,2022-02-21,3.0
A,25000,2022-04-30,3.0
A,36808,2022-06-12,133.0
A,123307,2022-06-13,104.0
A,40381,2022-08-03,23.0
D,36808,2022-02-26,124.0
A,259,2022-08-31,3.0
D,36808,2022-05-26,77.0
D,42154,2022-09-21,23.550000429153442
A,116836,2022-07-10,15.0
E,46150,2022-06-12,2.0
A,124414,2022-06-29,1.0
C,29653,2022-02-11,7.0
B,91438,2022-09-01,7.0
E,117376,2022-04-17,1.0
E,117925,2022-07-11,3.0
E,116836,2022-07-30,5.0
A,23785,2022-03-08,7.0
A,120499,2022-03-27,2.0
D,13795,2022-01-22,11.0
D,3940,2022-02-18,1.0
D,952,2022-03-14,5.0
D,11293,2022-03-17,18.0
D,110527,2022-09-11,1.0
D,3679,2022-10-16,9.0
C,10591,2022-06-11,1.0
C,117160,2022-07-30,8.0
B,3328,2022-07-29,3.0
A,43135,2022-03-06,24.0
D,2806,2022-07-01,3.0
D,121174,2022-09-02,1.0
D,42685,2022-09-13,20.0
C,6640,2022-01-28,6.0
C,44989,2022-09-13,1.0
B,36808,2022-05-01,23.0
B,29941,2022-07-20,13.0
A,23785,2022-03-05,9.0
D,116836,2022-03-29,12.0
D,24136,2022-05-28,13.0
D,41488,2022-07-15,1.0
C,10195,2022-02-08,2.0
A,23938,2022-03-13,3.0
A,29653,2022-09-26,3.0
D,98809,2022-03-08,30.0
C,122767,2022-07-27,10.0
C,121174,2022-07-30,4.0
C,110320,2022-08-05,7.0
A,9979,2022-10-13,3.0
B,117520,2022-02-17,7.0
B,102490,2022-06-09,24.800000190734863
E,107224,2022-07-04,3.0
B,11509,2022-08-31,2.0
B,122767,2022-10-07,4.0
D,268,2022-01-23,6.0
D,29653,2022-02-14,18.0
D,123307,2022-02-16,101.0
D,95137,2022-03-21,8.0
D,43135,2022-08-06,14.0
D,45115,2022-08-23,1.0
D,259,2022-10-08,9.0
A,42154,2022-03-15,27.069999873638153
A,29896,2022-04-08,10.0
E,42685,2022-10-10,18.0
B,7450,2022-02-24,4.0
B,36808,2022-05-25,44.0
B,43405,2022-06-19,3.0
B,121039,2022-07-12,1.0
E,110860,2022-04-05,1.0
A,40759,2022-02-09,5.0
A,10924,2022-04-21,3.0
A,40759,2022-06-26,13.0
D,6640,2022-01-26,6.0
D,42154,2022-02-08,26.24400019645691
C,118033,2022-09-02,1.0
D,30778,2022-04-28,2.0
A,898,2022-09-12,43.0
B,23785,2022-03-18,5.0
B,122686,2022-04-06,6.0
C,898,2022-02-18,52.0
B,42154,2022-05-23,24.08799982070923
B,46150,2022-09-08,8.0
C,36808,2022-05-28,40.0
C,898,2022-10-02,52.0
E,122767,2022-08-29,10.0
E,31579,2022-10-07,1.0
A,117376,2022-06-02,5.0
D,13948,2022-02-25,3.0
A,123703,2022-09-05,1.0
A,43405,2022-09-05,3.0
C,10204,2022-06-12,52.0
C,110077,2022-07-11,1.0
C,107863,2022-08-02,5.0
B,123307,2022-08-26,44.0
A,42154,2022-04-17,15.157999992370605
A,29653,2022-05-20,7.0
D,107863,2022-02-21,6.0
D,12040,2022-03-19,6.0
D,13795,2022-04-05,6.0
D,23938,2022-08-20,16.0
C,259,2022-02-15,10.0
C,107836,2022-02-25,8.0
B,43135,2022-06-02,2.0
E,116836,2022-07-14,1.0
A,106054,2022-02-25,2.0
A,11293,2022-04-16,6.0
A,40381,2022-04-17,6.0
A,119779,2022-04-26,12.0
D,117187,2022-01-25,3.0
A,107836,2022-07-17,4.0
A,116062,2022-08-04,3.0
D,117520,2022-05-24,11.0
D,43279,2022-06-24,1.0
D,43135,2022-08-19,12.0
C,91438,2022-08-04,1.0
C,10195,2022-09-08,1.0
A,124414,2022-06-02,4.0
A,3427,2022-09-18,2.0
D,117223,2022-03-05,10.0
D,121174,2022-04-12,15.0
C,7450,2022-04-29,1.0
C,118429,2022-05-31,1.0
B,18223,2022-08-27,141.0
B,18223,2022-09-01,130.0
E,18223,2022-09-01,19.0
D,18223,2022-06-08,121.0
A,123307,2022-04-27,115.0
E,43738,2022-08-17,1.0
B,13741,2022-03-03,3.0
B,123307,2022-08-14,39.0
D,57058,2022-04-01,5.0
E,42154,2022-08-31,9.0660001039505
C,117286,2022-04-18,6.0
C,102490,2022-05-29,36.47800022363663
B,40759,2022-02-10,11.0
C,45421,2022-08-02,8.0
B,673,2022-04-22,1.0
A,110320,2022-04-04,16.0
D,43135,2022-05-06,15.0
D,27790,2022-05-22,3.0
D,123307,2022-07-03,62.0
D,95137,2022-09-11,19.0
D,898,2022-09-16,14.0
A,120994,2022-09-08,6.0
B,40381,2022-02-18,5.0
B,102490,2022-02-24,10.546000003814697
B,11293,2022-03-20,11.0
C,898,2022-06-29,14.0
E,123307,2022-08-05,26.0
A,117376,2022-02-13,52.0
A,117520,2022-05-04,15.0
D,11509,2022-02-17,3.0
D,57058,2022-03-20,7.0
D,92491,2022-04-01,4.0
D,3679,2022-07-04,2.0
D,259,2022-08-05,7.0
C,3283,2022-08-25,1.0
C,898,2022-07-12,67.0
B,99457,2022-03-18,2.0
B,122767,2022-06-22,4.0
B,23146,2022-10-18,2.0
A,9979,2022-02-14,4.0
A,898,2022-07-13,4.0
D,107836,2022-01-28,4.0
D,110320,2022-07-23,16.0
D,268,2022-08-12,6.0
A,119554,2022-08-21,22.0
B,304,2022-04-02,5.0
B,119554,2022-05-20,13.0
A,40381,2022-05-31,8.0
D,322,2022-08-13,2.0
C,76399,2022-06-03,5.0
C,223,2022-07-22,1.0
C,101635,2022-09-23,8.0
B,46591,2022-10-01,16.0
B,18223,2022-05-12,95.0
B,18223,2022-07-21,160.0
D,98809,2022-02-06,40.0
D,98809,2022-02-09,40.0
E,12355,2022-03-29,2.0
B,110122,2022-02-01,1.0
B,94336,2022-02-20,1.0
B,36808,2022-04-27,68.0
D,45484,2022-03-05,2.0
D,117520,2022-04-13,94.0
D,42685,2022-04-24,52.0
D,10924,2022-09-14,1.0
A,110320,2022-02-02,13.0
A,117520,2022-05-24,19.0
A,117925,2022-06-19,12.0
C,42685,2022-10-17,23.0
B,36808,2022-01-22,31.0
C,36808,2022-06-23,17.0
C,110320,2022-08-18,5.0
B,117520,2022-04-22,13.0
C,40939,2022-09-12,2.0
E,107836,2022-05-03,10.0
E,117925,2022-06-16,3.0
D,12247,2022-01-30,1.0
A,123307,2022-07-24,133.0
A,898,2022-08-10,80.0
A,10852,2022-09-01,2.0
A,23137,2022-09-06,1.0
D,36808,2022-05-14,148.0
D,29653,2022-06-21,8.0
D,36808,2022-07-18,68.0
C,120994,2022-02-12,6.0
A,23020,2022-04-22,5.0
B,101635,2022-01-26,5.0
B,117610,2022-04-11,7.0
C,898,2022-04-02,102.0
B,9979,2022-06-25,3.0
C,116836,2022-04-20,17.0
C,117736,2022-05-25,83.0
E,117736,2022-08-29,3.0
E,42685,2022-09-16,13.0
A,898,2022-08-11,72.0
D,102490,2022-07-16,101.23000061511993
D,91438,2022-08-01,4.0
D,25000,2022-10-07,2.0
C,92482,2022-04-29,9.0
C,25000,2022-05-20,1.0
A,117736,2022-09-22,8.0
B,99457,2022-03-19,2.0
B,122740,2022-04-13,2.0
B,40381,2022-05-25,4.0
D,96136,2022-03-07,14.369999945163727
D,124414,2022-03-20,9.0
D,673,2022-03-27,3.0
D,123307,2022-05-18,164.0
D,4480,2022-05-18,2.0
D,10636,2022-09-04,2.0
B,57976,2022-09-04,2.0
A,898,2022-08-21,82.0
E,110878,2022-08-26,5.0
A,259,2022-02-20,8.0
A,64816,2022-04-18,1.0
D,19123,2022-01-23,2.0
A,120994,2022-05-12,24.0
A,114658,2022-07-17,4.0
A,11509,2022-08-04,15.0
D,94345,2022-07-15,8.0
C,107836,2022-03-06,11.0
C,100042,2022-03-20,1.0
C,123307,2022-08-13,50.0
C,102967,2022-09-28,1.0
A,95137,2022-02-09,4.0
D,23020,2022-03-13,25.0
B,98809,2022-03-19,13.0
D,18223,2022-09-26,129.0
C,119554,2022-01-29,31.0
E,36808,2022-04-09,20.0
C,23137,2022-06-26,2.0
E,36808,2022-05-19,29.0
B,117196,2022-02-25,1.0
B,110320,2022-03-12,8.0
E,25000,2022-10-11,2.0
B,745,2022-08-14,1.0
D,10060,2022-03-10,2.0
D,19114,2022-03-16,2.0
D,3427,2022-08-27,10.0
A,23911,2022-03-13,3.0
C,36808,2022-02-17,33.0
C,313,2022-06-14,1.0
C,898,2022-07-11,69.0
C,117286,2022-09-23,9.0
B,110878,2022-09-26,12.0
E,110320,2022-04-12,2.0
A,123307,2022-03-11,201.0
A,43135,2022-06-28,8.0
D,40939,2022-02-20,8.0
D,124414,2022-06-17,2.0
D,117736,2022-06-30,34.0
D,102490,2022-07-21,78.58399975299835
E,119554,2022-09-21,4.0
A,117520,2022-09-25,26.0
D,42685,2022-07-24,37.0
B,6856,2022-02-15,1.0
C,10105,2022-03-07,1.0
B,40759,2022-09-20,7.0
A,10078,2022-03-13,1.0
A,96136,2022-06-21,15.295999884605408
A,952,2022-08-31,2.0
D,107836,2022-02-24,2.0
D,117925,2022-03-16,17.0
D,124396,2022-05-07,3.0
D,123307,2022-07-05,67.0
C,898,2022-09-20,39.0
C,43405,2022-06-11,3.0
C,30175,2022-06-28,2.0
C,11293,2022-07-16,4.0
A,46150,2022-07-15,6.0
D,121174,2022-02-13,7.0
D,55906,2022-02-17,1.0
D,8800,2022-05-25,6.0
D,120418,2022-06-01,5.0
C,29941,2022-09-23,11.0
B,898,2022-04-24,34.0
D,117520,2022-02-10,23.0
A,117286,2022-08-07,7.0
C,45043,2022-03-14,1.0
C,23020,2022-03-28,2.0
C,4705,2022-10-08,2.0
A,45169,2022-05-20,8.0
D,123478,2022-05-01,5.0
D,223,2022-07-12,7.0
C,13003,2022-04-12,1.0
C,9979,2022-08-05,9.0
B,98809,2022-07-15,38.0
B,98809,2022-08-08,24.0
D,18223,2022-04-04,215.0
C,29653,2022-06-30,3.0
A,110356,2022-08-30,1.0
E,117736,2022-10-04,5.0
E,101635,2022-09-11,2.0
B,12220,2022-08-15,1.0
D,46150,2022-02-04,6.0
D,92482,2022-03-13,17.0
A,11509,2022-04-27,10.0
A,40759,2022-05-07,7.0
A,232,2022-05-07,1.0
A,14947,2022-07-06,14.0
E,898,2022-08-19,21.0
C,42658,2022-02-01,1.0
C,119554,2022-08-05,34.0
A,110320,2022-04-20,6.0
A,117745,2022-06-05,2.0
A,57058,2022-07-12,4.0
A,42685,2022-08-03,16.0
A,29941,2022-08-24,8.0
A,123307,2022-09-01,120.0
D,115846,2022-03-23,1.0
E,116836,2022-06-29,2.0
D,259,2022-02-20,13.0
